Secondary_sample_accession	Total
SRS476610	1458
SRS476701	1138
SRS476757	1245
SRS476787	1220
SRS476790	1349
SRS476827	1261
SRS476852	1503
SRS476865	1181
SRS476866	1449
SRR1646030	1197
SRR1646031	1362
SRR1646032	1001
SRR1646033	1317
SRR1646038	1271
SRR1646039	1216
SRR1646040	1367
SRR1646041	420
SRR1646042	1298
SRR1646043	1215
SRR1646044	1330
SRR1646045	1089
SRR1646046	1204
SRR1646047	972
SRR5297130	1610
SRR5297131	1490
SRR5297132	1510
SRR5297133	1442
SRR11176627	2784
SRR11176628	2494
SRR11176629	2797
SRR11176630	2749
SRR11176631	1818
SRR11176632	2723
SRR11176633	2711
SRR11176634	2789
SRR11176635	2749
SRR11176636	2803
SRR11176638	2472
SRR11176639	2823
SRR11176640	2829
SRR11176641	2731
SRR11176642	2815
CDM041.G0101	1195
CDM041.K0101	1192
CDM041.U0101	1149
CDM041.V0101	1202
CDM041.Y0101	1179
CDM042.C0101	1195
CDM042.E0101	1132
CDM042.G0101	1179
CDM042.H0101	1161
CDM042.M0101	1181
CDM042.P0101	1205
CDM042.Q0101	1184
CDM042.U0101	1210
CDM042.W0101	1190
CDM043.L0101	1179
CDM043.P0101	1199
CDM043.T0101	1200
CDM043.U0101	1129
CDM043.X0101	1201
CDM043.Y0101	1189
CDM045.F0101	1133
CDM045.G0101	1139
CDM045.H0101	1208
CDM045.I0101	1187
CDM045.L0101	1207
CDM045.M0101	1208
CDM045.Q0101	1202
CDM045.R0101	1193
CDM045.S0101	1108
CDM046.A0101	1199
CDM046.B0101	1187
CDM046.F0101	1171
CDM046.G0101	1153
CDM046.H0101	1183
CDM046.N0101	1200
CDM046.Q0101	1188
CDM046.V0101	1205
CDM046.Y0101	1186
CDM047.B0101	1204
CDM047.E0101	1163
CDM047.H0101	1209
CDM047.S0101	1197
CDM047.V0101	1179
CDM048.A0101	1206
CDM048.D0101	1200
CDM048.E0101	1197
CDM048.F0101	1176
CDM048.I0101	1191
CDM048.K0101	1192
CDM048.N0101	1113
CDM048.O0101	1198
CDM048.P0101	1203
CDM048.Q0101	1186
CDM048.S0101	1191
CDM048.V0101	1211
CDM048.W0101	1198
CDM048.Z0101	1202
CDM049.A0101	1184
CDM049.D0101	1205
CDM049.E0101	1193
CDM049.F0101	1163
CDM049.I0101	1196
CDM049.K0101	1180
CDM049.M0101	1172
CDM049.P0101	1187
CDM049.S0101	1185
CDM049.W0101	1210
CDM050.L0101	1172
CDM050.V0101	1202
CDM050.X0101	1203
CDM050.Z0101	1132
CDM051.A0101	1145
CDM051.D0101	1172
CDM051.G0101	1171
CDM051.I0101	1112
CDM051.M0101	1117
CDM051.R0101	1154
CDM051.S0101	1138
CDM051.U0101	1152
CDM051.V0101	1189
CDM051.Z0101	1104
CDM052.F0101	1119
CDM052.I0101	1181
CDM052.J0101	1133
CDM052.K0101	1203
CDM052.M0101	1172
CDM052.N0101	1199
VLC001.A0101	2768
VLC002.A0101	2709
VLC003.A0101	2681
VLC004.A0101	2825
VLC005.A0101	2839
VLC008.A0101	2706
VLC009.A0101	2746
VLC010.A0101	2647
BAN001.A0101	1683
BSQ001.A0101	2420
DLV001.A0101	1932
DLV002.A0101	645
ECO002.B0101	2577
ECO002.C0101	2502
ECO004.B0101	2756
ECO004.C0101	2436
ECO006.B0101	2262
ECO010.B0101	2183
EMN001.A0101	2775
ESA003.A0101	2683
ESA004.A0101	2571
ESA006.A0101	2692
ESA007.A0101	2565
ESA008.A0101	2542
FUM001.A0101	2613
FUM002.A0101	2695
FUM003.A0101	2723
GDN001.A0101	2238
GDN001.B0101	2659
GOY005.A0103	2019
GOY006.A0102	2861
GUE001.A0101	2213
LIS001.A0101	2640
LIS002.A0101	2515
LIS003.A0101	2677
MOA001.A0101	2107
MOA001.A0102	2165
OAK001.A0101	2249
OAK002.A0101	2677
OAK003.A0101	2554
OAK004.A0101	2666
OAK005.A0101	2613
OFN001.A0101	2768
PES001.B0101	2793
PLV001.A0101	2794
PYK001.A0101	2546
PYK002.A0101	2615
PYK003.A0101	2585
PYK004.A0101	2688
PYK005.A0101	2502
RIG001.A0101	2789
SPM001.A0101	1457
SPM002.A0101	1666
TAF008.B0101	2512
TAF016.B0101	1667
TAF017.A0101	1795
TAF017.C0101	2128
TAF017.E0101	594
TAF018.A0101	2452
TAF018.B0101	2609
VLD001.A0101	2704
ZAF001.A0101	2604
ABM006.A0101	2535
BIT001.A0101	2766
DJA002.A0101	2452
EBO001.A0101	2646
EBO003.A0101	2516
FDM001.A0101	2498
GDC002.A0101	2617
GDC004.A0101	2169
GDC005.A0101	2588
IBA001.A0101	2710
IBA002.A0101	2681
LOB001.A0101	2703
MTK001.A0101	2642
MTM003.A0101	2847
MTM010.A0101	2560
MTM011.A0101	2576
MTM012.A0101	2688
MTM013.A0101	2667
MTS001.A0101	2707
MTS002.A0101	2681
MTS003.A0101	2739
WAL001.A0101	2621
OME002.A0101	2811
OME003.A0101	2805
OME005.A0101	2757
OME007.A0101	2693
OME009.A0101	2663
ABM007.A0101	2419
ABM008.A0101	1994
CDC005.A0101	2289
CDC006.A0101	2609
CDC007.A0101	2455
CDC008.A0101	2412
CDC009.A0101	2361
CDC010.A0101	2459
DJA006.A0101	2322
DJA007.A0101	2656
EBO008.A0101	2587
EBO009.A0101	2202
KNP001.A0102	2705
KNP003.A0102	2599
KNP004.A0102	948
KNP005.A0102	2644
KNP006.A0102	2589
KNP007.A0102	2424
KNP009.A0102	2648
2081	1748
2082	1759
2083	1758
2084	1736
2086	1757
2087	1733
2089	1757
2090	1741
2091	1761
2092	1751
2093	1762
2094	1758
2095	1761
2096	1762
2097	1761
2099	1759
2100	1673
2102	1746
2103	1760
2104	1762
MAWB10	1222
MAWB11	1213
MAWB12	1181
MAWB15	1220
MAWB3	871
MAWB5	1178
MAWB6	1224
SA-001	1211
SA-002	984
SA-003	1201
SA-004	999
SA-005	1188
SA-006	1203
SA-007	1179
SA-008	1134
SA-009	1193
SA-010	1142
SA-011	1169
ERR1474564	1100
ERR1474565	1108
ERR1474566	1106
ERR1474567	1103
ERR1474568	1108
ERR1474569	1102
ERR1474570	1102
ERR1474571	1114
ERR1474572	1083
ERR1474573	1080
ERR1474574	1099
ERR1474575	1102
ERR1474576	1078
ERR1474577	1101
ERR1474578	1087
ERR1474579	1084
ERR1474580	1114
ERR1474581	1092
ERR1474582	1106
ERR1474583	1102
ERR1474584	1104
ERR1474585	1110
ERR1474586	1108
ERR1474587	1110
SRR6877282	1623
SRR6877284	1622
SRR6877286	1618
SRR6877288	1617
SRR6877290	1608
SRR6877292	1623
SRR6877310	1604
SRR6877312	1612
SRR6877323	1623
SRR6877324	1618
SRR6877326	1611
SRR6877393	1583
KT01calc	1261
KT02calc	1199
KT03calc	1155
KT04calc	1257
KT05calc	1224
KT06calc	1138
KT07calc	1243
KT08calc	1219
KT09calc	1066
KT10calc	1240
KT11calc	1255
KT12calc	1237
KT13calc	1231
KT14calc	1252
KT15calc	1259
KT16calc	1255
KT17calc	1210
KT18calc	1249
KT19calc	1255
KT20calc	1253
KT21calc	1203
KT22calc	1255
KT23calc	1260
KT24calc	1257
KT25calc	1254
KT26calc	1259
KT27calc	1256
KT28calc	1150
KT29calc	1261
KT30calc	1245
KT31calc	1259
KT32calc	1240
KT33calc	1255
KT34calc	1198
KT35calc	1251
KT36calc	1229
ERS9656246	6740
ERS9656247	6725
ERS9656248	6780
ERS9656249	6259
ERS9656250	6741
ERS9656251	6369
ERS9656252	6594
ERS9656253	6731
ERS9656254	5052
ERS9656255	6070
ERS9656256	6165
ERS9656257	46
ERS9656258	6368
ERS9656259	6485
ERS9656260	6636
ERS9656261	6507
ERS9656262	6756
ERS9656263	6773
ERS9656264	6512
ERS9656265	5730
ERS9656266	317
ERS9656267	110
ERS9656268	3662
ERS9656269	6416
ERS9656270	6765
ERS9656271	6717
Abusir1504c	1913
Abusir1511c	1750
Abusir1519c	2404
Abusir1574c	1884
Abusir1594c	2404
ANSP11833	3805
ANSP3271	4020
BB01	3993
BB05	4133
BB05-T06	4039
BB06	4187
BB08	4068
BB08-T08	3664
BB09	4079
BB11	3507
ERR5729614	1602
ERR5729615	1604
ERR5729616	1604
ERR5729617	1604
ERR5729618	1604
ERR5729619	1603
ERR5729620	1603
ERR5729621	1604
ERR5729622	1602
ERR5729623	1602
ERR5729624	1576
ERR5729625	1601
ERR5729626	1603
ERR5729627	1589
ERR5729628	1604
ERR5729629	1603
ERR5729630	1581
ERR5729631	1603
ERR5729632	1602
ERR5729633	1603
ERR5729634	1602
ERR5729635	1152
ERR5729636	1581
ERR5729637	1601
ERR5729638	1597
ERR5729639	1602
ERR5729640	1592
ERR5729641	1603
ERR5729642	1598
ERR5729643	1598
ERR5729644	1570
ERR5729645	1599
ERR5729646	1527
ERR5729647	1597
ERR5729648	1603
ERR5729649	1596
ERR5729650	1601
ERR5729651	1561
ERR5729652	1590
ERR5729653	1589
ERR5729654	1556
ERR5729655	1594
ERR5729656	1571
ERR5729657	1599
02C	3397
04C	3255
05C	3329
07C	3402
13C	3409
14C	3375
16C	3405
17C	3407
18C	3405
19C	3389
20C	3384
21C	3345
22C	3366
24C	3391
25C	3397
26C	3401
27C	3363
28C	3391
29C	3374
AHK001.A0101	2913
AKI001.A0101	3244
AKI002.A0101	3180
AMH001.A0101	3062
AMH002.A0101	3160
AMH003.A0101	3229
AMH004.A0101	3188
ANK001.A0101	2956
ANN001.A0101	2928
ANN002.A0101	3164
ANN003.A0101	3043
ANN004.A0101	3017
AON001.A0101	3237
AON002.A0101	3184
ATT001.A0101	3215
ATT002.A0101	3257
EFE002.B0101	3088
EFE003.B0101	2828
EFE004.B0101	3157
EFE005.B0101	3177
EFE006.B0101	3187
FUT018.B0101	3045
FUT021.B0101	3102
FUT024.B0101	3177
HCLVMBCX2-3505-01-00-01_S1	2944
HCLVMBCX2-3505-02-00-01_S2	2944
HCLVMBCX2-3505-03-00-01_S3	2690
HCLVMBCX2-3505-04-00-01_S4	2808
HCLVMBCX2-3505-05-00-01_S5	2564
HCLVMBCX2-3505-06-00-01_S6	3324
HCLVMBCX2-3505-07-00-01_S7	3120
HCLVMBCX2-3505-08-00-01_S8	2729
HCLVMBCX2-3505-09-00-01_S9	3293
HCLVMBCX2-3505-10-00-01_S10	2390
HCLVMBCX2-3505-11-00-01_S11	2291
HCLVMBCX2-3505-12-00-01_S12	3303
HCLVMBCX2-3505-14-00-01_S14	3303
HCLVMBCX2-3505-15-00-01_S15	3313
HCLVMBCX2-3505-16-00-01_S16	3295
HCLVMBCX2-3505-17-00-01_S17	2891
HCLVMBCX2-3505-18-00-01_S18	2627
HCLVMBCX2-3505-20-00-01_S20	1459
HCLVMBCX2-3505-21-00-01_S21	1736
HCLVMBCX2-3505-22-00-01_S22	1617
HCLVMBCX2-3505-23-00-01_S23	1088
HCLVMBCX2-3505-24-00-01_S24	1806
HCLVMBCX2-3505-25-00-01_S25	1699
HCLVMBCX2-3505-26-00-01_S26	3034
HCLVMBCX2-3505-27-00-01_S27	1341
HCLVMBCX2-3505-28-00-01_S28	3110
HCLVMBCX2-3505-29-00-01_S29	1549
HCLVMBCX2-3505-31-00-01_S31	1549
HCLVMBCX2-3505-33-00-01_S33	1365
NMU115.A0101	3103
NMU116.A0101	3234
NMU117.A0101	3254
NMU118.A0101	3138
NMU119.A0101	3312
NMU120.A0101	3296
NMU121.A0101	3185
NMU122.A0101	3347
NMU123.A0101	3241
NMU124.A0101	3314
NMU125.A0101	3235
NMU126.A0101	3152
NMU127.A0101	3146
NMU128.A0101	3079
NMU129.A0101	2856
NMU130.A0101	3203
NMU131.A0101	3241
PAH001.A0102	3212
PAH002.A0101	3230
PAH003.A0101	3335
RAP001.A0101	3315
RAP002.A0101	3270
SIG031.A0101	3114
SIG032.A0101	3090
SIG033.A0101	3220
SIG034.A0101	3145
SIG035.A0101	3341
SIG036.A0101	3189
SIG037.A0101	3317
SIG038.A0101	3078
SIG039.A0101	3182
SIG040.A0101	3019
SIG040.A0201	3082
SIG041.A0101	3117
SIG042.A0101	3233
SIG043.A0101	2992
SIG044.A0101	3281
SIG045.A0101	2834
SIG046.A0101	3004
SIG046.A0201	3042
SIG047.A0101	3297
TAP001.B0101	3166
TAP003.B0101	3096
TON001.C0101	3289
TON003.B0101	3240
TON004.B0101	3170
TON005.B0101	3292
TON006.B0101	3213
TON007.B0101	3124
JAE006.A0101	1047
JAE007.A0101	1047
JAE008.A0101	1063
JAE009.A0101	1074
JAE010.A0101	1069
JAE012.A0101	1056
JAE013.A0101	1038
JAE014.A0101	1074
JAE015.A0101	1072
JAE016.A0101	1064
CS01	1061
CS02	1002
CS03	1037
CS04	1071
CS07	1070
CS08	1073
CS09	1072
CS10	1074
CS11	1066
CS12	1071
CS13	1075
CS14	1031
CS15	1067
CS16	1073
CS17	1074
CS18	1055
CS19	1073
CS20	1069
CS21	1073
CS22	1075
CS23	1075
CS24	1072
CS26	1045
CS27	810
CS28	959
CS29	1073
CS30	1066
CS31	1074
CS32	1073
CS33	1070
CS34	1067
CS35	1072
CS36	1028
CS37	1072
CS38	1022
CS39	1067
CS40	933
CS42	1072
CS43	944
CS44	1072
CS45	1060
CS46	1073
CS47	1073
CS48	957
CMB001.A0101	1057
CMB002.A0101	1235
CMB003.A0101	1120
CMB004.A0101	1104
CMB005.A0101	1217
CMB006.A0101	1230
CMB007.A0101	1141
CMB008.A0101	1016
ELR003.A0101	1233
ELR004.A0101	1227
ELR006.A0101	1240
ELR008.A0101	1241
ELR010.A0101	870
IVE002.B0101	1237
IVE003.A0101	1238
IVE005.A0101	1235
IVE005.B0101	1238
IVE007.B0101	1239
MID022.A0101	1239
MID023.A0101	1225
MID024.A0101	1207
MID025.A0101	1146
MID026.A0101	1230
MID027.A0101	1206
MID028.A0101	1233
MID029.A0101	1238
MID030.A0101	1216
MID031.A0101	1237
MID032.A0101	1235
MID033.A0101	1232
MID034.A0101	1226
MID035.A0101	1234
MID036.A0101	1222
MID037.A0101	1240
MID038.A0101	1237
MID039.A0101	1235
MID040.A0101	1229
MID041.A0101	1238
MID042.A0101	1226
MID043.A0101	1236
MID044.A0101	1235
MID045.A0101	1236
MID046.A0101	1142
MID047.A0101	1233
MID048.A0101	1234
MID049.A0101	1238
MID050.A0101	1241
MID051.A0101	1182
MID052.A0101	1201
MID053.A0101	1072
MID054.A0101	1241
MID055.A0101	1240
MID056.A0101	1230
MID057.A0101	1238
MID058.A0101	1149
MID059.A0101	1228
MID060.A0101	1231
MID061.A0101	1220
MID062.A0101	1238
MID063.A0101	1191
MID064.A0101	1235
MID065.A0101	1233
MID066.A0101	1239
MID067.A0101	1234
MID068.A0101	1235
MID068.B0101	1221
MID070.A0101	1233
MID071.A0101	1235
MID072.A0101	1203
MID073.A0101	1240
MID074.A0101	1224
MID075.A0101	1106
MID076.A0101	1226
MID077.A0101	1241
MID078.A0101	1238
MID079.A0101	1222
MID080.A0101	1211
MID081.A0101	1236
MID082.A0101	1235
MID083.A0101	1240
MID084.A0101	1236
MID085.A0101	1237
MID086.A0101	1217
MID087.A0101	1233
MID088.A0101	1230
MID089.A0101	1239
MID090.A0101	1213
MID091.A0101	1240
MID092.A0101	1223
MID093.A0101	1234
MID094.A0101	1239
MID097.A0101	1221
MID101.A0101	1235
MID102.A0101	1237
CMC001.A0101	962
CMC001.A0201	962
CMC001.B0201	961
CMC002.A0201	961
CMC002.B0201	911
CMC003.A0201	962
CMC003.B0101	956
CMC004.A0101	963
CMC004.B0201	963
CMC005.A0202	960
CMC005.B0101	956
CMC006.A0101	959
CMC006.B0201	952
CMC007.B0101	952
CMC008.A0101	950
CMC008.B0201	962
CMC009.A0202	957
CMC009.B0101	955
CMC010.A0101	963
CMC010.B0201	962
CMC011.A0201	963
CMC011.B0101	963
CMC012.A0201	962
CMC012.B0201	962
CMC013.A0201	963
CMC013.B0101	955
CMC014.A0101	932
CMC015.A0201	963
CMC015.B0201	958
CMC016.A0101	954
CMC016.B0101	960
CMC017.A0201	963
CMC017.B0201	963
CMC018.A0101	959
CMC018.B0101	963
CMC020.A0101	960
CMC020.B0101	956
CMC021.A0201	963
CMC021.B0201	958
CMC022.A0101	956
CMC022.B0101	962
CMC023.A0301	963
CMC023.B0201	962
CMC024.A0101	963
CMC024.B0101	963
CMC025.A0201	961
CMC025.B0201	963
CMC026.A0101	962
CMC026.B0101	963
CMC027.A0201	957
CMC027.B0201	961
CMC028.A0101	962
CMC028.B0101	956
CMC029.A0201	962
CMC029.B0201	956
CMC030.A0101	963
CMC030.B0101	962
CMC031.A0201	932
CMC031.B0201	951
CMC032.A0101	935
CMC033.A0201	957
CMC033.B0201	958
CMC034.A0101	960
CMC034.B0101	958
CMC035.A0201	962
CMC035.B0201	961
CMC036.A0101	962
CMC036.B0101	958
CMC037.A0201	963
CMC037.B0201	942
CMC038.A0101	962
CMC038.B0101	962
CMC039.B0201	963
CMC040.B0101	957
CMC041.A0201	963
CMC042.A0201	960
CMC042.B0101	961
CMC043.A0101	952
CMC043.B0101	948
CMC044.A0201	953
CMC045.A0201	950
CMC045.B0201	957
CMC046.B0201	956
CMC047.A0201	926
B61	1487
G12	1512
SRR13263123	3143
SRR13263124	3084
SRR13263130	3116
SRR13263131	2011
SRS011247	944
SRS011310	944
SRS013506	946
SRS013945	946
SRS015436	945
SRS015799	944
SRS018359	943
SRS019124	947
SRS019587	937
SRS024281	939
SRS043239	947
SRS052874	942
SRS056892	945
SRS058105	941
SRS011098	856
SRS011126	865
SRS011152	866
SRS011255	865
SRS011343	861
SRS012285	864
SRS013170	866
SRS013252	864
SRS013533	866
SRS013723	866
SRS013836	866
SRS013949	864
SRS013950	863
SRS014107	864
SRS014476	865
SRS014477	866
SRS014578	863
SRS014690	864
SRS014691	860
SRS014894	848
SRS015044	866
SRS015063	860
SRS015064	862
SRS015158	863
SRS015215	866
SRS015278	860
SRS015378	814
SRS015440	859
SRS015470	863
SRS015574	862
SRS015650	862
SRS015755	862
SRS015803	865
SRS015899	846
SRS015947	856
SRS015989	855
SRS016043	863
SRS016092	856
SRS016200	857
SRS016331	865
SRS016360	861
SRS016541	862
SRS016575	865
SRS016746	865
SRS017025	862
SRS017088	854
SRS017139	866
SRS017227	866
SRS017304	860
SRS017445	865
SRS017511	866
SRS017691	866
SRS017814	861
SRS018157	864
SRS018337	864
SRS018394	865
SRS018573	864
SRS018665	866
SRS018778	846
SRS018975	860
SRS019028	865
SRS019029	866
SRS019077	864
SRS019128	866
SRS019129	866
SRS019225	862
SRS019333	852
SRS019387	854
SRS019591	858
SRS019906	863
SRS019980	864
SRS020226	866
SRS020340	865
SRS020862	847
SRS021477	866
SRS021960	861
SRS022083	864
SRS022149	863
SRS022536	866
SRS022602	865
SRS022725	866
SRS023358	865
SRS023538	856
SRS023595	866
SRS023841	861
SRS023938	864
SRS023964	865
SRS024021	862
SRS024087	865
SRS024144	863
SRS024289	862
SRS024355	866
SRS024381	859
SRS024447	865
SRS024561	864
SRS024649	864
SRS042984	865
SRS043018	866
SRS043755	862
SRS043772	859
SRS044366	848
SRS045197	866
SRS045313	860
SRS047100	859
SRS047113	865
SRS047265	862
SRS047634	865
SRS049268	865
SRS049318	866
SRS051244	865
SRS051378	861
SRS051930	866
SRS051941	866
SRS052604	858
SRS052876	861
SRS053584	861
SRS053630	839
SRS053917	866
SRS054430	864
SRS054653	860
SRS055378	866
SRS055401	864
SRS055450	861
SRS058053	866
SRS058808	865
SRS063215	865
SRS063603	865
SRS063999	866
SRS064219	827
SRS064329	863
SRS064449	865
SRS064493	805
SRS065099	864
SRS065310	858
SRS075410	856
SRS013942	1114
SRS014468	1092
SRS014692	1106
SRS015055	1158
SRS019120	1122
SRR17524244	311
SRR17524418	685
SRR17524420	573
SRR17524421	496
SRR17524423	648
SRR17524424	393
SRR17524425	584
SRR17524426	553
SRR17524427	708
SRR17524433	589
SRR17523844	677
SRR17524053	764
SRR17524054	803
SRR17524055	886
SRR17524056	15
SRR17524057	806
SRR17524195	555
SRR17524196	566
SRR17524198	642
SRR17524199	541
SRR17524200	479
SRR17524495	638
SRR17524496	459
SRR17524497	745
SRR17524498	307
SRR17524501	463
SRR17524584	421
SRR17524585	549
SRR17524586	486
SRR17524587	361
SRR17524588	363
SRR17524589	466
SRR17524590	435
SRR17524591	304
SRR17524592	483
SRR17524594	461
SRR17524595	14
SRR17524596	481
SRR17524597	520
SRR17524598	522
SRR17524599	18
SRR17524600	342
SRR17524601	491
SRR17524602	18
SRR17524603	302
SRR17524618	521
SRR17524619	562
SRR17524620	541
SRR17524621	608
SRR17524622	722
SRR17524623	583
SRR17524398	614
SRR17524399	646
SRR17524400	672
SRR17524401	691
SRR17524402	724
SRR17524403	571
SRR17523815	698
SRR17523817	570
SRR17523818	695
SRR17523819	722
SRR17523820	699
SRR17523822	594
SRR17523823	647
SRR17523824	665
SRR17523825	514
SRR17523826	719
SRR17523827	618
SRR17523828	636
SRR17523829	571
SRR17523830	668
SRR17523831	576
SRR17523833	554
SRR17523834	633
SRR17523835	663
SRR17523883	680
SRR17523885	544
SRR17523886	646
SRR17523888	705
SRR17523889	627
SRR17523890	581
SRR17523893	655
SRR17523894	732
SRR17523895	649
SRR17523896	731
SRR17523897	641
SRR17523898	339
SRR17523899	702
SRR17523900	668
SRR17523901	680
SRR17523902	605
SRR17523904	698
SRR17523906	650
SRR17523907	699
SRR17523908	701
SRR17523909	469
SRR17524502	639
SRR17524503	249
SRR17524504	611
SRR17524505	599
SRR17524506	611
SRR17524507	582
SRR17524508	700
SRR17524509	637
SRR17524510	667
SRR17524511	539
SRR17524513	678
SRR17524514	492
SRR17524515	660
SRR17524516	608
SRR17524517	622
SRR17524518	708
SRR17524519	704
SRR17524520	636
SRR17524521	627
SRR17523801	830
SRR17523812	697
SRR17523821	742
SRR17523832	798
SRR17523838	899
SRR17523871	844
SRR17523882	784
SRR17523891	854
SRR17523903	800
SRR17523905	626
SRR17523915	839
SRR17523926	879
SRR17523938	790
SRR17523953	830
SRR17523964	791
SRR17523970	839
SRR17523980	802
SRR17523999	766
SRR17524065	868
SRR17524077	945
SRR17524088	902
SRR17524094	874
SRR17524105	867
SRR17524122	799
SRR17524129	855
SRR17524141	731
SRR17524155	744
SRR17524281	757
SRR17524294	781
SRR17524305	763
SRR17524312	676
SRR17524323	767
SRR17524332	906
SRR17524346	864
SRR17524354	775
SRR17524363	787
SRR17524378	673
SRR17524389	648
SRR17524512	837
SRR17524526	845
SRR17524538	740
SRR17524549	548
SRR17524558	839
SRR17524573	592
SRR17524695	861
SRR17524092	818
SRR17524093	801
SRR17524095	687
SRR17524096	849
SRR17524097	805
SRR17524098	864
SRR17524352	626
SRR17524353	706
SRR17524355	839
SRR17524356	881
SRR17524357	780
SRR17524358	799
SRR17524359	797
SRR17524360	853
SRR17524361	970
SRR17524362	830
SRR17524364	757
SRR17524365	1001
SRR17524366	891
SRR17524367	738
SRR17524368	879
SRR17524369	808
SRR17524370	796
SRR17524371	1082
SRR17524582	709
SRR17524583	677
SRR17524233	876
SRR17524235	518
SRR17524534	1421
SRR17524537	929
SRR17524257	692
SRR17524258	661
SRR17524261	613
SRR17524266	668
SRR17524480	516
SRR17524674	823
SRR17524675	443
